date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:57	177/177	---MCZ	200	added ('OK')	text/plain	etag:W/%2260b0138a-1de%22	https://screening.mhanational.org/robots.txt		(from )
23:03:57	139407/139407	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jan%202023%2015:03:58%20GMT	https://screening.mhanational.org/screening-tools/depression/	C:/My%20Web%20Sites/depress/screening.mhanational.org/screening-tools/depression/index.html	(from )
23:03:58	1454/1454	---M--	200	added ('OK')	image/png	etag:%2260b0141b-ce3%22	https://screening.mhanational.org/favicon.png	C:/My%20Web%20Sites/depress/screening.mhanational.org/favicon.png	(from https://screening.mhanational.org/screening-tools/depression/)
23:03:59	6820/6820	---M--	200	added ('OK')	image/png	etag:%2263a28e01-2bc3%22	https://screening.mhanational.org/apple-touch-icon.png	C:/My%20Web%20Sites/depress/screening.mhanational.org/apple-touch-icon.png	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:01	10685/10685	---M--	200	added ('OK')	image/png	etag:%2260b01403-29bd%22	https://screening.mhanational.org/favicon-144x144.png	C:/My%20Web%20Sites/depress/screening.mhanational.org/favicon-144x144.png	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:09	123931/123931	---MC-	200	added ('OK')	application/javascript	date:Sun,%2001%20Jan%202023%2015:04:07%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-PNLZZ5R	C:/My%20Web%20Sites/depress/www.googleoptimize.com/optimize3af5.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2001%20Jan%202023%2015:04:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/depress/www.googletagmanager.com/gtm.45445.delayed	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:16	854885/854885	---MCZ	200	added ('OK')	text/css	etag:W/%226399da65-d0b65%22	https://screening.mhanational.org/wp-content/cache/autoptimize/css/autoptimize_7a1ecf2654b585c47ef39ad343596e82.css	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/cache/autoptimize/css/autoptimize_7a1ecf2654b585c47ef39ad343596e82.css	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:21	5619/5619	---MCZ	200	added ('OK')	text/css	etag:W/%226399da65-15f3%22	https://screening.mhanational.org/wp-content/cache/autoptimize/css/autoptimize_5653ccbbff2bf3fde17022871919df8b.css	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/cache/autoptimize/css/autoptimize_5653ccbbff2bf3fde17022871919df8b.css	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:26	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%22603ffca6-e688%22	https://screening.mhanational.org/wp-includes/css/dashicons.min.css?ver=6.1.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/css/dashicons.min6a4d.css	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:27	89684/89684	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632879b8-15e54%22	https://screening.mhanational.org/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/jquery/jquery.mina7a0.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:27	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fb4e3fe-2bd8%22	https://screening.mhanational.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:29	1836/1836	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636ec3e9-72c%22	https://screening.mhanational.org/wp-content/plugins/gravityforms/js/jquery.json.min.js?ver=2.6.8	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/gravityforms/js/jquery.json.min91ac.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:31	44198/44198	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636ec3e9-aca6%22	https://screening.mhanational.org/wp-content/plugins/gravityforms/js/gravityforms.min.js?ver=2.6.8	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/gravityforms/js/gravityforms.min91ac.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:32	8682/8682	---MCZ	200	added ('OK')	application/javascript	etag:W/%22636ec3e9-21ea%22	https://screening.mhanational.org/wp-content/plugins/gravityforms/js/conditional_logic.min.js?ver=2.6.8	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/gravityforms/js/conditional_logic.min91ac.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:33	18041/18041	---M--	200	added ('OK')	image/png	etag:%2260b01429-469d%22	https://screening.mhanational.org/wp-content/themes/mha_s2s/assets/images/mha-logo.png	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/themes/mha_s2s/assets/images/mha-logo.png	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:34	25144/25144	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263891891-6238%22	https://screening.mhanational.org/wp-content/plugins/mha_activity/mha_activity.js?ver=1672585009	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/mha_activity/mha_activitye084.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:35	12127/12127	---MCZ	200	added ('OK')	application/javascript	etag:W/%226393c222-2f5f%22	https://screening.mhanational.org/wp-content/plugins/mha_activity/diy_tools.js?ver=v20221209_p2	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/mha_activity/diy_tools6a8d.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:36	5136/5136	---MCZ	200	added ('OK')	application/javascript	etag:W/%22639b7790-1410%22	https://screening.mhanational.org/wp-content/plugins/mha_exports/diy_export.js?ver=1672585009	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/mha_exports/diy_exporte084.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:37	21093/21093	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e451fa-5265%22	https://screening.mhanational.org/wp-content/plugins/mha_screens/assets/jquery.validate.min.js?ver=1.0	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/mha_screens/assets/jquery.validate.min5152.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:39	6490/6490	---MCZ	200	added ('OK')	application/javascript	etag:W/%226398f68b-195a%22	https://screening.mhanational.org/wp-content/plugins/mha_screens/mha_screens.js?ver=1.1.20221213pm	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/mha_screens/mha_screens0e7c.js	(from https://screening.mhanational.org/screening-tools/depression/)
23:04:40	9304/9304	---MCZ	200	added ('OK')	application/javascript	etag:W/%22638f50ef-2458%22	https://screening.mhanational.org/wp-content/plugins/mha_shard/inc/js/scripts.js?ver=20221206_1	C:/My%20Web%20Sites/depress/screening.mhanational.org/wp-content/plugins/mha_shard/inc/js/scripts92ad.js	(from https://screening.mhanational.org/screening-tools/depression/)
